Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;TOTAL;Total;2.605.757
Ambos Sexos;TOTAL;0-4;96.875
Ambos Sexos;TOTAL;5-9;122.891
Ambos Sexos;TOTAL;10-14;142.288
Ambos Sexos;TOTAL;15-19;139.475
Ambos Sexos;TOTAL;20-24;133.804
Ambos Sexos;TOTAL;25-29;136.944
Ambos Sexos;TOTAL;30-34;146.255
Ambos Sexos;TOTAL;35-39;168.939
Ambos Sexos;TOTAL;40-44;215.270
Ambos Sexos;TOTAL;45-49;223.992
Ambos Sexos;TOTAL;50-54;207.729
Ambos Sexos;TOTAL;55-59;191.423
Ambos Sexos;TOTAL;60-64;169.245
Ambos Sexos;TOTAL;65-69;139.452
Ambos Sexos;TOTAL;70-74;122.404
Ambos Sexos;TOTAL;75-79;99.615
Ambos Sexos;TOTAL;80-84;71.005
Ambos Sexos;TOTAL;85-89;50.102
Ambos Sexos;TOTAL;90-94;21.894
Ambos Sexos;TOTAL;95-99;5.342
Ambos Sexos;TOTAL;100 y más;813
Ambos Sexos;4600101001;Total;1.000
Ambos Sexos;4600101001;0-4;39
Ambos Sexos;4600101001;5-9;32
Ambos Sexos;4600101001;10-14;54
Ambos Sexos;4600101001;15-19;55
Ambos Sexos;4600101001;20-24;47
Ambos Sexos;4600101001;25-29;51
Ambos Sexos;4600101001;30-34;54
Ambos Sexos;4600101001;35-39;47
Ambos Sexos;4600101001;40-44;52
Ambos Sexos;4600101001;45-49;78
Ambos Sexos;4600101001;50-54;74
Ambos Sexos;4600101001;55-59;88
Ambos Sexos;4600101001;60-64;82
Ambos Sexos;4600101001;65-69;61
Ambos Sexos;4600101001;70-74;40
Ambos Sexos;4600101001;75-79;47
Ambos Sexos;4600101001;80-84;43
Ambos Sexos;4600101001;85-89;31
Ambos Sexos;4600101001;90-94;21
Ambos Sexos;4600101001;95-99;3
Ambos Sexos;4600101001;100 y más;1
Ambos Sexos;4600201001;Total;1.706
Ambos Sexos;4600201001;0-4;60
Ambos Sexos;4600201001;5-9;62
Ambos Sexos;4600201001;10-14;77
Ambos Sexos;4600201001;15-19;84
Ambos Sexos;4600201001;20-24;101
Ambos Sexos;4600201001;25-29;80
Ambos Sexos;4600201001;30-34;81
Ambos Sexos;4600201001;35-39;103
Ambos Sexos;4600201001;40-44;134
Ambos Sexos;4600201001;45-49;172
Ambos Sexos;4600201001;50-54;151
Ambos Sexos;4600201001;55-59;136
Ambos Sexos;4600201001;60-64;114
Ambos Sexos;4600201001;65-69;88
Ambos Sexos;4600201001;70-74;86
Ambos Sexos;4600201001;75-79;70
Ambos Sexos;4600201001;80-84;56
Ambos Sexos;4600201001;85-89;36
Ambos Sexos;4600201001;90-94;13
Ambos Sexos;4600201001;95-99;2
Ambos Sexos;4600201001;100 y más;0
Ambos Sexos;4600301001;Total;1.146
Ambos Sexos;4600301001;0-4;36
Ambos Sexos;4600301001;5-9;44
Ambos Sexos;4600301001;10-14;60
Ambos Sexos;4600301001;15-19;58
Ambos Sexos;4600301001;20-24;56
Ambos Sexos;4600301001;25-29;34
Ambos Sexos;4600301001;30-34;64
Ambos Sexos;4600301001;35-39;64
Ambos Sexos;4600301001;40-44;104
Ambos Sexos;4600301001;45-49;103
Ambos Sexos;4600301001;50-54;111
Ambos Sexos;4600301001;55-59;79
Ambos Sexos;4600301001;60-64;78
Ambos Sexos;4600301001;65-69;55
Ambos Sexos;4600301001;70-74;60
Ambos Sexos;4600301001;75-79;51
Ambos Sexos;4600301001;80-84;37
Ambos Sexos;4600301001;85-89;37
Ambos Sexos;4600301001;90-94;13
Ambos Sexos;4600301001;95-99;2
Ambos Sexos;4600301001;100 y más;0
Ambos Sexos;4600401001;Total;2.361
Ambos Sexos;4600401001;0-4;76
Ambos Sexos;4600401001;5-9;102
Ambos Sexos;4600401001;10-14;117
Ambos Sexos;4600401001;15-19;116
Ambos Sexos;4600401001;20-24;135
Ambos Sexos;4600401001;25-29;141
Ambos Sexos;4600401001;30-34;112
Ambos Sexos;4600401001;35-39;127
Ambos Sexos;4600401001;40-44;192
Ambos Sexos;4600401001;45-49;196
Ambos Sexos;4600401001;50-54;202
Ambos Sexos;4600401001;55-59;209
Ambos Sexos;4600401001;60-64;166
Ambos Sexos;4600401001;65-69;136
Ambos Sexos;4600401001;70-74;120
Ambos Sexos;4600401001;75-79;90
Ambos Sexos;4600401001;80-84;58
Ambos Sexos;4600401001;85-89;48
Ambos Sexos;4600401001;90-94;12
Ambos Sexos;4600401001;95-99;6
Ambos Sexos;4600401001;100 y más;0
Ambos Sexos;4600501001;Total;1.231
Ambos Sexos;4600501001;0-4;40
Ambos Sexos;4600501001;5-9;40
Ambos Sexos;4600501001;10-14;54
Ambos Sexos;4600501001;15-19;65
Ambos Sexos;4600501001;20-24;58
Ambos Sexos;4600501001;25-29;68
Ambos Sexos;4600501001;30-34;71
Ambos Sexos;4600501001;35-39;65
Ambos Sexos;4600501001;40-44;88
Ambos Sexos;4600501001;45-49;79
Ambos Sexos;4600501001;50-54;99
Ambos Sexos;4600501001;55-59;91
Ambos Sexos;4600501001;60-64;104
Ambos Sexos;4600501001;65-69;57
Ambos Sexos;4600501001;70-74;77
Ambos Sexos;4600501001;75-79;61
Ambos Sexos;4600501001;80-84;48
